epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.858,0.35686,2.02394,1.00822,0.34988,0.83249,0.43425,0.38023,0.30844,1.8994,0.6245,0.000547247,0.000547247,0.000547247
2,224.786,0.28836,1.42478,0.95416,0.09273,0.63384,0.08259,0.02924,1.67265,5.00178,1.67928,0.00108108,0.00108108,0.00108108
3,332.868,0.29291,1.30931,0.93255,0.45319,0.96779,0.49861,0.4709,0.33393,1.44241,0.56214,0.0015929,0.0015929,0.0015929
4,462.927,0.28314,1.21217,0.93146,0.43947,0.97727,0.48977,0.47527,0.2881,1.3088,0.53221,0.00156798,0.00156798,0.00156798
5,588.327,0.27551,1.14305,0.9295,0.4051,0.94523,0.49536,0.46672,0.30541,1.41511,0.57575,0.00153497,0.00153497,0.00153497
6,701.078,0.24967,1.08816,0.91551,0.41908,0.88636,0.47094,0.42887,0.35833,1.26483,0.60587,0.00150197,0.00150197,0.00150197
7,815.634,0.23814,1.04965,0.90985,0.31894,0.82336,0.39282,0.36909,0.2981,1.49695,0.57469,0.00146896,0.00146896,0.00146896
8,921.744,0.21626,1.03931,0.91586,0.43455,0.9697,0.53695,0.5341,0.24308,1.15084,0.52299,0.00143595,0.00143595,0.00143595
9,1024.48,0.20606,1.00247,0.90024,0.46483,0.91328,0.56319,0.5463,0.19313,1.11084,0.50509,0.00140295,0.00140295,0.00140295
10,1120.78,0.20186,0.99004,0.89496,0.4246,0.89627,0.58688,0.56478,0.20713,1.08784,0.48426,0.00136994,0.00136994,0.00136994
11,1238.42,0.20479,1.00042,0.90807,0.46248,0.86111,0.55857,0.5381,0.26521,1.10958,0.54275,0.00133693,0.00133693,0.00133693
12,1341.55,0.19508,0.98119,0.89809,0.44454,0.93939,0.58913,0.55807,0.30894,1.12102,0.58425,0.00130393,0.00130393,0.00130393
13,1447.1,0.17582,0.96072,0.89012,0.44767,0.93182,0.57274,0.53681,0.23121,1.12138,0.51947,0.00127092,0.00127092,0.00127092
14,1570.08,0.16801,0.93085,0.88629,0.44081,0.96655,0.57513,0.55156,0.24798,1.05686,0.53877,0.00123791,0.00123791,0.00123791
15,1673.67,0.17743,0.94225,0.90148,0.50018,0.87693,0.66704,0.64794,0.25755,0.95869,0.51804,0.00120491,0.00120491,0.00120491
16,1771.67,0.16716,0.89017,0.89356,0.44345,0.93939,0.60929,0.5952,0.21683,1.13874,0.49517,0.0011719,0.0011719,0.0011719
17,1871.29,0.16912,0.93176,0.89764,0.47817,0.85128,0.54678,0.49991,0.3492,1.1653,0.6155,0.00113889,0.00113889,0.00113889
